name,description,average_score,class
The Walking Dead Card Game,"The Walking Dead Card Game, based on Wolfgang Kramer's 6 nimmt!, features the same basic gameplay as that card game while adding six character cards and two modes of play: Survival and Hero.&#10;&#10;To play the game, you shuffle the 104 number cards, lay out four cards face-up to start the four rows, then deal a number of cards to each player. Each turn, players simultaneously choose and reveal a card from their hand, then add the cards to the rows, with cards being placed in ascending order based on their number; each card is placed in the row that ends with the highest number that's below the card's number. When the sixth card is placed in a row, the owner of that card claims the other five cards and the sixth card becomes the first card in a new row.&#10;&#10;In addition to a number from 1 to 104, each card has a zombie point value. In Survival mode (for 3-10 players), players want to collect as few points as possible, while in Hero mode (for 2-6 players) you want to collect more zombie points than anyone else. In Hero mode, each player has a single-use character card that can give you an extra advantage in the round in which you play it.&#10;&#10;",5.51,6
Whitewater,"Game description from the publisher:&#10;&#10;Danger and excitement lurk around every bend of the river in Whitewater. Race down a deadly river, carefully navigating your raft through the obstacles, while trying to keep your paddles and crew inside the raft.&#10;&#10;In Whitewater each player directs the actions of four courageous rafters. Each raft in the race contains four crew, with two crew from you and two from another player. Players control the crew within a raft, but also may use Energy cards to additionally help one raft or the other. Dice represent the effects of hazards you encounter, and even your best-laid plans can be spoiled by another raft pushing you a direction you don't want to go. Earn points for getting your rafts and passengers home safely, while navigating through treacherous waters containing rocks, driftwood and the dreaded whirlpool!&#10;&#10;",5.98,6
Geister & Gespenster,"Who will help Count Peppermint? For centuries, ghosts and phantoms have haunted the halls of the old counts' castle. Annoyed with the midnight madness, Count Peppermint decides to bring ghost chasers to his castle so that he can finally sleep again at night. But the chasers don't have it easy, because the ghosts can only be captured and driven off in threes. And just when you think you've got them secured, they disappear in a ghostly manner. Who will bring the most ghosts behind lock and key?&#10;&#10;",5.63,6
Guildes,"You seek to be elected to the head of Portyl, a medieval city composed of different guilds more or less powerful that will have to be converted to your cause in order to recover their voices. The election takes place in three rounds, with a count of votes in each round. At the end of the third round, the player having recovered the most votes will be appointed to the head of the city and will win the game.&#10;&#10;",6.15,6
Wanzen tanzen,"In Wanzen Tanzen (&quot;Dancing Bugs&quot;) you will not dance and the only bugs you'll encounter are made of cardboard. What you will find in the box is a dice-and-card game in which you're challenged to compete multiple tasks on a card in order to claim it for points.&#10;&#10;At the start of the game, shuffle the 28 task cards, then place fifteen of them face-down and remove the rest from the game. Place the five penalty cards (worth -1 to -5 points) in order with the -5 on the bottom. Give the starting player the five dice, then reveal the top task card.&#10;&#10;On a turn, the active player starts by rolling all the dice, then she has two choices:&#10;&#10;&#10;    Set aside at least one die, then roll any remaining dice.&#10;    Take one baby bug token and reroll all dice just rolled.&#10;&#10;&#10;After each roll, a player has these two options. She continues until either she sets aside all five dice or takes a fifth baby bug. (More on that below.) If the player has set aside all the dice and has completed one (or more) of the tasks on the card, she covers one task with a marker. If no tasks remain uncovered, she claims the task card, which is worth positive points, then the next player reveals the next task card and takes his turn.&#10;&#10;If at least one task remains uncovered, the player can either take another turn immediately or pass the dice to the next player. If the player has set aside all the dice without completing a task, she takes two baby bug tokens, and the next player takes a turn.&#10;&#10;As soon as a player has five or more baby bugs, that player claims the top penalty card and all players return all baby bugs to the supply. The game ends as soon as the last task card or the last penalty card has been claimed. Players sum their points, and the player with the highest score wins.&#10;&#10;",6.25,6
"The Battle of Nations: The Encirclement at Leipzig, 16-19 October 1813","This game is a simulation of a real-world event. It is played on a map that is a simplified terrain reproduction of the actual battlefield, A grid of hexagons printed over the map is used to regulate movement much as the squares on a chess board. The pieces in the game represent the actual military units that took pare in the historical conflict. The large numbers on the pieces indicate the relative strengths of these units. Each Player maneuvers his pieces on the map to engage those of the enemy. Battles take place when units are adjacent to enemy units. The total relative strengths of the involved units are compared. The attacking Player consults a simple probability table (the Combat Results Table) to determine the outcome of each battle. Then the other Player moves his units and conducts attacks. The game proceeds this ways (for a specified number of turns) as the Players try to achieve the historical objectives set forth in the rules. The final outcome of the game can be very different from the actual historical result. No prior knowledge of history or military tactics is required to play the game - just a little ingenuity and common sense.&#10;&#10;One of four games included in the Napoleon At War QuadriGame.  The games in this set are based on the Napoleon At Waterloo system.&#10;&#10;",6.45,6
Karibou Camp,"Description from the publisher:&#10;&#10;Each turn in Karibou Camp, players discover their partner, then simultaneously exchange the cards from their hand with those in the center of the table in order to create a collection of identical animals &mdash; but to earn points, you still need to make your partner understand which collection you have completed!&#10;&#10;Marmots? Give them a wink. Caribou? Pull your tongue out. Be discreet because at any moment your opponents can catch you and steal your points. Speed, observation, grimaces, and laughs are plenty in this crazy party game.&#10;&#10;",5.8,6
Star Trek Red Alert,"A Diskwars variant for fighting space battles in the Star Trek universe. Cardboard disks are used as miniatures to represent space ships, crew, and technology.&#10;&#10;",6.49,6
Amber Route,"Amber Route is a journey to the land of Slavic beliefs, monsters and magic. In this game full of surprises, you will embark on a dangerous adventure, leading your caravan through the uncharted territories. At every step you will face lurking evil creatures, traps, and ancient magic. Plan your moves carefully, protect your amber, expand your retinue, and try to reach the destination as quick as possible.&#10;&#10;In this game you must take care of your escort, amber, and power cards &mdash; all while keeping an eye on your opponents. During course of the game, you will encounter monsters, ghost, deadly traps, thieves, and other sorts of evil. All encounters are resolved via dice, but each is resolved in a different way. On your turn, you must choose one of the following actions:&#10;&#10;&#10;    Move and explore the place you have reached&#10;    Hire the escort&#10;    Buy the power cards&#10;&#10;&#10;Whatever you do, keep a lookout for your opponents don't sleep; they just wait to stab you. You must remember one thing: Be quick or be dead in your quest for amber. Good luck!&#10;&#10;",5.68,6
Battle Yahtzee: Deadpool,"Battle Yahtzee: Deadpool mashes up the irreverent Marvel antihero with a dice game competition that includes custom dice, a custom game board, and score sheet.&#10;&#10;",5.98,6
Mag·Blast: Third Edition,"Game description from the publisher:&#10;&#10;The art of renowned cartoonist John Kovalic, coupled with the hilarious &quot;Make a Silly Noise or Miss!&quot; Blast Targeting System, makes Mag&middot;Blast (Third Edition) the perfect card game for two to eight players, ages ten and up. This edition retains all of the fast-paced fun and powerful ships of the previous editions, and it includes eight new flagships, seven ship types, twenty action card types (including fighters and bombers), and three blast card types...including the famous Mag&bull;Blast!&#10;&#10;",6.02,6
Space Fleet,"The ancestor of Battlefleet Gothic, Space Fleet is a space battle game ostensibly set in the Warhammer 40,000 (Third Edition) universe.  It uses a variety of collectable spaceship miniatures; unlike Battlefleet Gothic, movement is more Blue Max style than miniatures style, each player simultaneously programming from any of 13 possible moves.  Before the game starts, the players also allocate their shields around the ship's periphery.  Combat is a simple affair, and the rules are very skimpy.&#10;&#10;Battlefleet Gothic was actually still called Space Fleet Gothic in 1998, one year before its release.&#10;&#10;",5.52,6
Holiday Fluxx,"Like Fluxx, Holiday Fluxx is a card game in which the cards themselves determine the current rules of the game. By playing cards, you change numerous aspects of the game: how to draw cards, how to play cards, and even how to win.&#10;&#10;At the start of the game, each player holds three cards and on a turn a player draws one card, then plays one card. By playing cards, you can put new rules into play that change numerous aspects of the game: how many cards to draw or play, how many cards you can hold in hand or keep on the table in front of you, and (most importantly) how to win the game.&#10;&#10;Holiday Fluxx is intended to serve as a family-friendly introduction to Fluxx and will feature holidays from New Year's Day to Halloween to Hanukkah to Christmas.&#10;&#10;",6.28,6
Skippity,"If Susan McKinley Ross' Qwirkle can be described as a simplified Scrabble &ndash; with colors and shapes replacing letters &ndash; then her 2010 release from MindWare &ndash; Skippity &ndash; might be dubbed &quot;checkers for the Timothy Leary set&quot;.&#10;&#10;On a blazingly colored 10x10 game board, players randomly lay out one hundred tokens in five colors, then remove the tokens from the four central squares. On a turn, a player takes a single token and jumps orthogonally over an adjacent token to an empty space, capturing the token jumped. Multiple jumps are possible, with the player capturing each token jumped.&#10;&#10;The game ends when no more jumps are possible. Players then compare their stacks of tokens, with each set of five differently-colored tokens counting as a set. The player with the most sets wins, with the tiebreaker being the number of tokens captured but not in sets.&#10;&#10;",6.34,6
Pirate Loot: Base Set,"Sail the seas! Recruit the best crew! Crush your foes and steal their loot!&#10;&#10;Can you plunder enough treasure to satisfy your scurvy crew before the other captains? In Pirate Loot, players take turns recruiting crew to join their ship, hoping to have the best possible crew when the ships finally set sail. Win the round to get your hands on the most valuable loot, but beware! Just because you claimed the loot does not mean you get to keep it!&#10;&#10;Pirate Loot is a fast paced parlor game of treasure and treachery for 2 to 4 players, created by veteran game designer Jason Bulmahn with art by Scott Kurtz and Dylan Meconis and graphic design by Mari Kolkowsky.&#10;&#10;",6.14,6
Like Minds,"This is a party game played with partners. A card is drawn which instructs the players to write down a list of things like: cartoon animals, round fruit, pizza toppings, Jim Carry Movies etc. Players then compare their lists with their partners. The team with the most matches advances their pawn on the game board, and the first team to reach Brain Central wins.&#10;&#10;From the back of the box:&#10;Would you write the same things down when you are asked to make a list of pizza toppings? Things found in a fish tank? TV game shows? &#10; You'll find out when you play Like Minds. &#10; Players sit across from their game partner. The Like Mind's brain is put in reach of everyone. The category is read out loud for all players to hear ...but only ONE player from each team knows how many matches are needed to win the round. &#10; Everyone starts writing answers to the category. As soon as you think you and your partner have the number of matches needed, you grab the brain. Now compare your list with your partner's. &#10; Here's an example: The category is &quot;things teenagers do in their spare time.&quot; You know you and your partner only need three matches. You write down whatever comes to mind, hoping that it comes to your partner's mind too. &quot;Listen to music&quot;, &quot;watch TV&quot;, &quot;play sports&quot;, &quot;use the internet&quot;. &#10; Did you match at least three? If so, you win the round and get to move ahead on the game board. The more matches you and your teammate make, the faster you'll get to Brain Central and the win! &#10; Includes game board, 35 game cards with 420 categories, 4 folders, dice, dice cup, brain, movers, pads, and instructions&#10;&#10;",5.67,6
Leapin' Lily Pads,"Vividly the frogs bounce from stone to stone in the water lily pond. Beneath the frogs are colors. But which ones? Therefore: Pay attention....because good memorizing is the key to winning!&#10;&#10;The frogs have various colors beneath them &amp; hop from stone to stone. If the color of the frog you&acute;re hopping with matches that of the revealed lily pad, you keep the lily. The one with the most lily pads wins.&#10;&#10;Though Ravenburger re-used the art from this game for Flyin' Frogs, they are separate games.&#10;&#10;",5.76,6
Tomb,"Recruit a Party. Kill the Monsters. Take Their Stuff!&#10;&#10;Tomb pits opponents against one another in a game of monsters, traps, treasures, and spells. Attempts to capture the dungeon crawl experience without hours of preparation. Assemble a crack squad of adventurers and enter the fabled Goldenaxe Catacombs in search of glory and hidden treasure. With Tomb&rsquo;s unique set-up and character recruitment, you&rsquo;ll never play the same game twice.&#10;&#10;Integrates with:&#10;&#10;    Tomb: Cryptmaster&#10;&#10;&#10;",6.33,6
Pass the Popcorn! Game,"Players cover game tiles by identifying movies from clues given on Cast, Characters, Story, or Quote cards. Be the first to cover 4 tiles and win! Game covers 250 major movies, 70 top actors, and includes 32 game tiles.&#10;&#10;Also includes a bonus Star Connection Card Game for added fun.&#10;&#10;",5.73,6
Out of Mine!,"Game description from the publisher:&#10;&#10;&quot;Out of mine!&quot; At hearing this call through the shafts of the mine, dwarves immediately let their pickaxes rest. Who was able to best complete the challenge? Equipped with pickaxes and the secret knowledge of the mine elves, in Out of Mine! the players try to expose as many precious crystals as possible. Each one gets his own special tunnel, in which he tries to find the crystals according to the hints of the elves. If one dwarf manages to find  all of the predicted crystals in his tunnel, the call &quot;Out of mine!&quot; rings out loud. The players now get points for the found resources, but only at the end of the week after the seventh round of exploration will everyone see who has been the most successful dwarf. Only the dwarf who manages to quickly and correctly dig for crystals in his tunnel has a chance to become the master dwarf.&#10;&#10;",5.6,6
Isaribi,"During the heart of the Edo era, the sea surrounding the nearby Edo Bay had a larger abundance of fish and shellfish, much more than the current day and age. Villages built up a thriving fishing lifestyle and market, catching a variety of delicious fish like horse mackerel, shrimp, clams.&#10;&#10;Step back three hundred years ago, and experience what it was like to work in a coastal village in Japan. Players are fishermen trying to earn a living in one of nature's best providers: the sea. Over the course of five rounds, you'll need to bring back enough fish, and use your connections to help your fishing livelihood survive. Make wise choices to increase the number of actions you can take, and borrow money carefully to help further your finances.&#10;&#10;In Isaribi, players have a limited number of action points, and on their turn they perform actions such as get fish, sell the fish, upgrade their fishing ship or net, and gain more AP. Whoever is able to gain the most wealth wins.&#10;&#10;",6.28,6
Loch Ness,"Loch Ness is a game for children ages 4 and up, with expandable rules to make the game more and more exciting as they grow and learn.&#10;&#10;All the world knows the monster legend, but anyone can take a good photo of it. The players have 2-3 tourist pawns to place on the spots on the shores of the lake, then try to drive the monster near to them rolling a 12 sided dice with different effects on his moves.&#10;The more skilled and lucky tourists will be able to pick one or more photo tiles from the sack, keeping only the last one. At the end of tiles, the best photographer will be the winner.&#10;&#10;The basic game is very simple to play; the game have some advanced rules for a more challenging play. The monster is composed by a set of three different painted pieces: head, back and tail.&#10;&#10;Game contents&#10;&#10;     Gameboard&#10;     12 plastic Photographers&#10;     1 Nessie figure&#10;     32 Nessie pictures&#10;     1 bag&#10;     rulebook&#10;&#10;&#10;Not to be confused with another 2010 game with the same theme, Loch Ness!&#10;&#10;",5.96,6
UNO H2O,"From the publisher:&#10;&#10;Ever played UNO underwater? Now you can, with UNO H20. Waterproof cards and carrying case let you take this easy, fast-paced family game to the pool, beach or anyplace that's wet.&#10;&#10;For 2 to 10 players, Ages 7 and up&#10;&#10;--&#10;&#10;UNO H20 includes two new cards: Wild Downpour 1 and Wild Downpour 2. When played, all other players must draw 1 or 2 cards, respectively. The player of the card also determines the new color.&#10;&#10;",6.07,6
Fightball,"In the all-too-distant future, a bunch of people play a dangerous sport called Fightball, and James Ernest wrote a game about it.&#10;&#10;The setting is the streets of the future &mdash; not the real future, but the crazy apocalyptic future we all know and love. In this particular future, gangs of street thugs have (again) become enamored of the world of modern professional sports. Unfortunately, they have no real idea of how these modern sports were played, besides what they can guess from old photographs and what they know about the sports of their day. If all future sports use multiple balls, surely so did the sports of the twentieth century, right? And even if they didn't, they should have.&#10;&#10;Thus was born Fightball, a weird version of basketball with at least three balls &mdash; maybe more, we're not sure &mdash; two goals, and extremely violent gameplay. The sport is played on the streets and overseen by flying robot referees, and it's played by the weirdest assortment of folks you're likely to see in a game.&#10;&#10;Basically, Fightball is like basketball. Players build a &quot;court&quot; out of 24 cards and play four rounds. The play is fast and furious, with each player playing as fast as he can. When one player reaches the &quot;BUZZ&quot; card (at the bottom of the deck) the round is over. Now, players score each location on the court, looking for a sequence of cards starting with a player, then a ball, then a shot. Other cards, like blockers, can affect the quality of the shot. Some shots succeed, and are worth points. Others fail, and are worth nothing. The highest score at the end of four rounds wins the game!&#10;&#10;Fightball was released as three sets of double decks, and any two decks can be played against one another.&#10;&#10;",5.83,6
Infernal Contraption,"Game description from the publisher:&#10;&#10;An infectiously fun non-collectible card game for 2-4 players, Infernal Contraption pits goblin mechanics against each other in a race to assemble often-backfiring, nigh-uncontrollable magical machines. Through the strategic placement of arcane components like arcantric funnels, chthonic grinders, and entropic processors, these bodgers risk life and limb to overcome the competition with the ultimate Infernal Contraption.&#10;&#10;The second edition of Infernal Contraption includes cards from the Sabotage! expansion and a special promo card for the Bodgers Game Heap.&#10;&#10;",5.85,6
Alexandros,"&quot;Alexandros: Conquest and Empire&quot; is a wargame on the conquests of Alexander the Great from 334-323 B.C. &#10;One player takes command of the Macedonians and the other leads the Persians. They fight over provinces in quarterly turns. Combat can be fought tactically, using a separate display reminiscent of the way of resolving combat in Eagle games, with units assigned to various sections of the battlefield. Units which survive tactical combat can lay siege to cities.&#10;&#10;The game can last varying numbers of turns, depending on the course of the war. There are several conditions, including the death of leaders and conquest of overwhelming numbers of provinces, that can end the game early. Otherwise the game ends in the summer of 323 (when Alexander actually died) or in an optional scenario, keep going up until 318 if Alexander survives that long.&#10;&#10;",6.16,6
Risk: The Walking Dead – Survival Edition,"In many ways, Risk: The Walking Dead - Survival Edition features the familiar Risk gameplay, with players facing off against one another in order to claim territories on a map, win bonuses, and eliminate the opponents.&#10;&#10;What differs with this game, though, is that players are battling on a map depicting the southeast region of the United States, the setting for The Walking Dead comic series, with the map featuring 32 territories and six zones. In addition to fending off attacks from and competing for resources with the other players, they must also maintain their self-preservation from the unrelenting hordes of the undead that spawn at the start of each player's turn and would love nothing better than to feast upon them.&#10;&#10;Risk: The Walking Dead includes a deck of event cards, with each player drawing one at the start of his turn. These cards refer to story events from The Walking Dead, with players facing various rewards and penalties depending on the situation.&#10;&#10;The game ends after a fixed number of turns, but players can also choose to battle until all but one player is eliminated.&#10;&#10;",6.48,6
Pot de Vin,"Description from the publisher:&#10;&#10;These are uncertain times. There has been a power void since the coup. Everyone from the highest aristocrat to the lowliest gang boss strives to gain the support of the guilds &mdash; but to get this means bribery, skullduggery, and knowledge of the four most powerful and influential figures in the city. Knowing when to strike requires cunning and prudence. News travels fast, and no guild wants to become infamous...unless of course they can profit from it!&#10;&#10;In Pot-de-Vin, the goal is to collect sets of different guild symbols by winning rounds and claiming the cards of your opponents. Gather the right amount of symbols to gain the most points. Jokers can be added to a guild of your choice, but watch out for the Pot-de-Vin (13); if you don't collect them all, then they will hurt you in the end.&#10;&#10;",6.31,6
Clue,"Traditional Clue board game with modernized graphics in the &quot;Mansion&quot; board and a boardwalk/beach scene on the opposite side of the board.  Gameplay has been updated as well with the &quot;Boardwalk&quot; scene incorporating 3 red cards which are placed in assigned spots on the board for players to obtain.  These cards allow special plays:&#10;&#10;1.  Take a card from each player, mark it on your clue sheet, and return to players.&#10;2.  Choose a player who must secretly show you two cards.&#10;3.  For the rest of the game, you may ask one additional question every time you ask a CLUE question.&#10;&#10;The 2013 version also places 3 cards face up for all players to see at the beginning of the game in 4 and 6 player games.&#10;&#10;",5.67,6
Ctrl,"In Ctrl, players try to dominate a cube by crawling over it with their colored bricks, preferably covering other players' bricks along the way.&#10;&#10;In more detail, you start with a 3&times;3&times;3 cube that has one block of each player color stuck into one of the cube's holes. (In a two-player game, each player controls two colors, but at the start of play they secretly choose one of those colors to be their scoring color, with the other color serving only as a blocking mechanism.) Each player has a matching colored flag that sticks out of their block.&#10;&#10;On a turn, a player removes their flag from its current location, adds one cube of their color to the side of any of their blocks (where such a move can be made), then they &quot;grow&quot; their color by adding two blocks in a straight line from the block they just added, crawling around corners and covering other players' blocks if needed. To end your turn, plant your flag in one of your final blocks, ideally blocking where someone else might like to play while also preserving future ground in which you can play.&#10;&#10;Once all the blocks have been placed, you calculate your score by looking at the structure from all four surrounding sides, as well as from the top, and counting each unblocked square of your color that is visible. Thus, if you plant a block high up on the cube, you can possibly score 5 points for it since it would be seen from all sides and the top. Climb high, and block others from blocking you!&#10;&#10;",5.93,6
Sergeants: On the Eastern Front,"The Eastern Front in World War Two was the largest land campaign in history. This game recreates incidents in this vast campaign as small skirmishes between Soviet and German forces commanded by sergeants and other noncommissioned officers. YOU command one side. Can YOU defeat the enemy in this easy to learn and exciting historical war game? This introduction-level game simulates World War II infantry actions at the man-to man level. The game, without going into overwhelming detail, test the tactical skills of the players, each commanding small opposing forces. Combat at this level focuses on the immediate enemy, his locations and weapons, the terrain and sheer survival. Sergeants! is an infinitely expandable game that is fast, fun and surprisingly inexpensive.&#10;&#10;&#10;     Double-Sided Mapboard - Puzzle-cut to hold together&#10;     220 LASER-Cut Playing Pieces - These units represent soldiers, their weapons and information markers... heavy mounted, coated, and 3/4 in. Units are square. Terrain changing counters are hex shaped, info counters are round.&#10;     Dice - Two six-sided dice- both players roll for resolution&#10;     Rules, charts, and special 'briefing sheets' for more obscure needs&#10;     Scenarios - contains EIGHT scenarios, several with variants for different year versions or with/without armor variants&#10;     Charts - contains the charts needed to play the game&#10;     Each box contains a unique registration card, giving the owner access to more scenarios and some extras.&#10;&#10;&#10;The &quot;Repple Depple 1&quot; expansion contains many more maps, scenarios, and tanks.&#10;&#10;&mdash;description from the publisher&#10;&#10;",6.15,6
Yu-ca-tan,"The goal of the game is to earn as many points as possible by betting on one's dice score. Before the players roll the dice they have to bet on their dice score, that is on a certain number, colour or shape. If they dice the number, colour or shape, they bet on before, they earn points. You can press your luck and roll the dice over and over again in order to collect more points. But as soon as you roll the wrong dice you lose all the points of your turn.&#10;&#10;",5.77,6
Color It!,"Color It!&#10;&#10;In the merry land of Kaleido, some of the colors have disappeared! It's the players' job to make the houses, flowers, hot-air balloons and rainbows shine in the most amazing colors once again? Save Kaleido by rolling the dice and choosing your colors wisely in two game variants. The first player to color in their sheet wins!&#10;&#10;&mdash;description from the publisher&#10;&#10;",6.22,6
Zebra-Schwein,"Zebra-Schwein will have your children committing unspeakably horrible genetic experiments in the comfort and safety of their own home.&#10;&#10;No, actually Zebra-Schwein only has children draw unspeakably horrible genetic experiments, specifically the combination of two animals as determined by a secret die roll. To set up the game, lay out the six animal tiles in a circle; each tile shows a die face next to the animal: zebra is 1, mouse is 2, etc.&#10;&#10;On a turn, a player secretly rolls two dice in a cup, rerolling if necessary to get different results on each die. The player then starts to draw one animal that has features of both animals rolled, say, a zebeera or a pifrog. When any of the other players think they know what is being drawn, they grab the grunting plastic zebra-schwein and give their answer. If wrong, that player is out for the round; if correct, that player and the drawer each win an animal card. Then the next player clockwise starts a new round.&#10;&#10;Whoever collects the most animal cards wins!&#10;&#10;",5.82,6
True Colors,"Players attempt to best anticipate how others perceive them. Each round consists of several private votes on who best fits a particular question. Once the votes have been entered, players guess at the number of votes they received for that particular question. The better your estimate, the more points you make. The winner is the player who best understands how others see them.&#10;&#10;",6.06,6
My Very First Games: Rhino Hero Junior,"Rhino Hero Junior is a superhero in training who aims high. In three different games, the children practice their fine motor skills, work on a basic understanding of numbers and quantities, and also train their memories. Floor by floor, the fun and learning curve just gets steeper and steeper, until the heroic rhino reaches the top and the children win together.&#10;&#10;Players will work on their fine motor skills while stacking a sturdy cardboard tower in three mini games. They'll also be able to work on counting from 1 to 5, and working on the concept of bigger to smaller sizes. The rulebook includes suggestions on ways to help your little stackers better learn the rules and understand the key concepts taught and practiced in the game.&#10;&#10;&mdash;description from the publisher&#10;&#10;",6.26,6
Web of Gold,"The players are adventurers seeking gold in an abandoned mine. Each ventures into the mine equipped with a lantern (with a limited amount of oil). The outer ring of hexes can be searched for additional equipment (torches, oil to refuel the lamp, mushrooms...) whilst the inner hexes are where the gold is to be found. First player to bring back six gold nuggets wins. Or,if all adventurers are killed, the player whose spider has scored the most kills wins...&#10;Finding gold isn't as easy as it seems; the richest hexes (smack in the mine's center, of course) only yield gold on a 4+ (on a d6); using the lantern gives a +1.&#10;Where it gets really fun is with the mine's other denizens: each player controls, in addition to his adventurer, a spider that hops from rock column to rock column (the pivot points where hexes meet; the board is 3D so this works really well) spinning webs --little cardboard barriers that slide into place between rock pillars. Adventurers &quot;attack&quot; the webs when they try to step through and could stay tangled (the adventurer pieces are slotted so they can be put on top of the web they're stuck in). Whilst thus caught, spiders can try to bite them --four bites and you're eliminated! The lantern is very useful in such a case as its light scares the spiders away.&#10;The spiders can co-operate to build stronger webs, and it isn't unusual for one spider to strengthen the web an adventurer is caught in so another spider has a better chance of biting him.&#10;All in all, a very enjoyable game. Works best with the full set of six players.&#10;&#10;",5.73,6
Titus Tentacle,"Pirates and buccaneers get ready to set sail for a faraway island said to hold a hidden treasure of immense wealth &mdash; but beware of the giant octopus that guards the island. Everyday Titus Tentacle scares off the brazen little pirate monkeys who are out to steal his gold coins...&#10;&#10;The star of Titus Tentacle is the octopod itself, which is placed in the center of the game board. Each player has two ships, and on a turn the active player rolls the color die, then moves one of their ships to the next empty space of that color on the game board; the ships circle the board clockwise with the goal of reaching Treasure Island. If a player rolls red, then they turn Titus Tentacle to what they hope is a favorable position, then they bop the octopus on the head, shooting out its limbs and (fingers crossed!) knocking over opposing ships. Any ships knocked over this way must return to start, but a couple of rocky locations along the path can provide safe haven.&#10;&#10;If a pirate reaches Treasure Island, they take one gold coin, then return that ship to start. Whichever pirate first claims three gold coins wins!&#10;&#10;",5.58,6
"The Ottomans: Rise of the Turkish Empire, 1453-1571","Ottomans is a historical simulation of the rise of the Ottoman Empire in the 15th and 16th centuries. That era saw the Ottomans go from a small nation competing for survival in the Near East to a regional superpower, forming a state that lasted until the end of the First World War. To build their empire, the Ottomans conquered the remnant of the Byzantine Empire, won smashing victories over other Islamic states and twice pushed to the gates of Vienna.&#10;&#10;There are four factions in the game, each represented by a color: the Turks (Ottomans and others), the Holy League (mainly Catholic Europeans), the Orthodox (eastern Christians), and the Caliphate (a general term for the more established Islamic states). Within each faction there are individual nations. For example, the Turks include the Ottomans and the Seljuks.   Each player controls a &ldquo;core nationality&rdquo;; that is, one nationality within a faction of which he may never lose control. In the course of the game players may gain control of additional nationalities, some of which may be inimical to each other.&#10;&#10;Ottomans is played in a series of turns. Within each game turn, players pick stratagem markers (which allow players to take certain political and military actions), move their forces and engage in combat. A player, while representing an individual faction, may control forces from other factions. Players will find themselves sometimes attacking forces they control, while perhaps temporarily aligning themselves with an opponent, in order to reach their final goals. Throughout each game turn, players may use stratagem markers to gain military and political advantages as well as to undermine their foes. Players receive reinforcements depending on which regions they control.&#10;&#10;The objective of the game is to build the strongest empire. At the end of the game, players check to see which faction won the game. The player who contributed the most to that faction&rsquo;s victory wins the game.&#10;&#10;",6.28,6
Rent a Hero,"The card deck in Seventh Hero consists of 77 cards, with each card representing one of seven different heroes. Players each start with two random heroes, and each hero has a special power that can be activated once. Each turn, a player sends a card from his hand face down to the next player, who can choose to take it or pass it on. If he takes it, he adds it to his group of heroes, but if it's a hero he already has, both hero cards are sent to the discard pile. Before sending a hero away, the player must obey the current round's limitations, such as the card must be odd or must be below or above a certain number.&#10;&#10;The first player to collect six of the seven heroes wins.&#10;&#10;",6.33,6
Who? What? Where? Jr.,"From the publisher:&#10;&#10; Who? What? Where? Jr. is a drawing game for kids. To play, sketch the funny scenes found on your cards. You might get:&#10;&#10;&bull; A Bear Riding a Bike in a Cave&#10;&bull; A Cow Jumping Rope on a Train&#10;&bull; A Dog Playing Soccer on the Moon&#10;&#10;... thousands of other fun-to-draw combinations. Other players try to guess what you drew for points. The player with the most points after three rounds wins.&#10;&#10;Re-implements:&#10;&#10;    Who? What? Where?&#10;&#10;&#10;",6.17,6
Jane Austen's Matchmaker,"In Jane Austen's Matchmaker, a card game for 3 to 6 players, you place your Ladies into Society and propose to other players' Ladies with your Gentlemen. Some proposals lead to love and happiness and some to financial prosperity, but some are nothing more than shallow seductions. Whatever happens, you must ensure that your characters come out on top!&#10;&#10;When proposing, if a Gentleman's Charm is lower than the Lady's, he must discard cards to make up the difference. If he wants to really impress her, he can discard additional cards to boost his Charm. If the Lady accepts, the players exchange characters and whoever has the higher Wealth draws cards equal to the difference. If she declines - paying cards if necessary to counter his Charm offensive - the Gentleman returns to the player's hand to brush up on his manners.&#10;&#10;Declining a proposal from a Gentleman with a higher Rank will earn you additional cards, and if you have more Ladies in Society than anyone else at the start of your turn, you get an extra 'go'. This can help you to dominate the matchmaking scene but will doubtless draw the ire of your rivals. It's good to be protective of your Ladies, but don't let them get left on the shelf...&#10;&#10;When the deck runs out, the game ends and players tally up the Virtue of their married characters, then subtract the Virtue of their 'old maids' (Ladies left unwed in Society). Whoever has the highest Virtue total wins!&#10;&#10;",6.43,6
Colpevole!,A Clue-style game.&#10;&#10;One of the players plays the guilty party (&quot;Colpevole&quot;) and knows the story (there are 40 different scenarios). All the other players have to find out the motives and dynamics of the murder.&#10;&#10;,6.27,6
Tenka,"In Tenka, each player takes the role of a local baron in the chaos of medieval Japan. The Emperor is powerless and the office of his sworn protector, the Shogun, is an empty shell. The realm is in turmoil as rival Daimyos struggle for control.&#10;&#10;Two to four players compete in this fast-playing card game of consolidation and conquest, where each turn and every card play is a decision whether to PLACE a card in your court for a modest but long-lasting effect, or to PITCH a card for a stronger but single use.&#10;&#10;Nobunaga realized his ambition and united almost a third of Japan under his rule; only one player can seize enough Provinces, or have all three Regalia, to control the realm. Play Tenka to find out if it will be you!&#10;&#10;Each game covers one period of unrest in Feudal Japan lasting until a great warlord emerges victorious&#10;&#10;",6.27,6
