Name,Description,Average Score,Number of Reviews
Dragonlance: Fifth Age,"From the box:

A generation ago, the War with Chaos heralded a new age for the world of Krynn―the Age of Mortals. Just as the shattered land of Ansalon had begun to recover, a new threat from across the sea descended upon the populace: the Great Dragons. Larger and more fierce than any wyrms ever to battle in the wars of past ages, these beasts have brought terrible oppression to the land they now claim. Humans and elves, dwarves and centaurs, minotaurs and kender all suffer under their shadow.

But the FIFTH AGE is not without its heroes. Born of myriad races, these valiant souls found inspiration in legends of the heroes of yore. They now take up sword and lance, master an almost forgotten primordial magic, and harness the untold energies of the human heart to defend their people from the dragon lords of Ansalon.

DRAGONLANCE: FIFTH AGE is an all new role-playing game that builds on the foundation of the best-selling novel Dragons of Summer Flame, by Margaret Weis and Tracy Hickman. The game features the unique SAGATM dramatic adventure rules, designed to reproduce the sweeping romance and fantastic epics of the Dragonlance tradition. The FIFTH AGE game contains:


     Book of the FIFTH AGE, 128 pages detailing the SAGA rules, a new narrative game system that emphasizes roles over rules and gives players more game control.



     Dusk or Dawn, 96 pages introducing the Ansalon of the FIFTH AGE.



     Heroes of a New Age, a 48 page introductory dramatic adventure.



     The Fate Deck, 82 colorful cards that govern all aspects of game play.



     A full-color poster map of Ansalon at the dawn of the FIFTH AGE.



     18 character cards featuring the greatest heroes and villains of the FIFTH AGE plus a pre-generated party of heroes.


The challenge is upon all of us!",6.94519,52
Dragon Lords of Melniboné,"From the back of the book:

FOR TEN THOUSAND YEARS the bright empire of Melnibon&eacute; ruled the world. Her soldiers were ruthless, unspeakably cruel, and skilled at arms. Powerful sorcerors, magic came easily to them, as easy as breathing. They forged eternal bonds with the aloof gods of Law and Chaos, with the hideous demons from other planes, with elemental lords who are of the world itself, and with the ancient dragons with which Melnibon&eacute; enforced her might.

But wealth and age has dulled the Bright Empire, tarnished its beauty, and weakened its people. The empire rots from within. And outside, young kingdoms arise on the lands Melnibon&eacute;'s sons and daughters carved from the stuff of chaos. These kingdoms are ambitious, and envious of the ancient wealth of their former masters.

A pirate navy is forming, to sail against the Dreaming City of Imrryr. Its captains hope to recapture stolen riches and to bring a hated overlord to ruin.

DRAGON LORDS OF MELNIBON&Eacute; provides a heroic setting for your d20 System game in a complete and detailed roleplaying world developed by Chaosium Inc. and based upon the fabulous stories written by Michael Moorcock.

The island of Melnibon&eacute; and the world of the Young Kingdoms wage their eternal battle in a fully developed and extensive storyline. Ancient magic abounds. Socerous swords whisper of forgotten treasure. Spirits and demons plague the living . . . and a new albino emperor has taken the Ruby Throne, promising to restore the terrible heritage of Melnibon&eacute; and bring the young upstarts to heel.",4.83333,12
DragonMech,"From the Back of the Book:

Medieval Fantasy Mechs

After an age of Destruction, the Second Age of Walkers is now at hand. Explore the ruins of the surface world in sturdy iron mechs powered by steam, magic, or the labor of a thousand slaves!

A New Frontier for Fantasy d20

This rulebook introduces not just a new world but the first comprehensive d20 treatment of fantasy mechs. Built on the foundation of a traditional fantasy campaign, DragonMech is easy to integrate into any ongoing game, or it can be used on its own. It features extensive rules for fantasy mechs powered by machiner, magic, and manual labor , fully integrated with a host of new classes, feats, skills, and items specially designed for a mech based fantasy campaign.",7,4
DragonQuest,"From the back cover:

The most powerful and comprehensive fantasy role-playing system is now even easier and more fun in the thoroughly revised second edition. The combat system has been streamlined for quicker and more exciting play, and the experience points system has been carefully enhanced to make your characters capable of more dynamic growth. Now presented in this one volume, DragonQuest is truly complete in one book. Although we are continuing a program of fascinating supplemental material, you need nothing more than this book and two decimal dice to play complete and enjoyable games.",7.34375,32
DragonRaid,"The DragonRaid box contains:


     24-page &quot;Rulebook&quot;
     16-page &quot;New Player Briefing&quot;
     128-page loose-leaf &quot;Adventure Master Manual&quot;
     142-page spiral-bound &quot;Lightraider Handbook&quot;
     44-page adventure &quot;The Lightraider Test&quot;
     56-page adventure &quot;The Moonbridge Raid&quot; with 40 additional pages of handouts, charts, etc. (later versions of the boxed set only -- not in the original release)
     76-page adventure &quot;Rescue of the Sacred Scrolls&quot; with 24 additional pages of player handouts, maps, etc.
     3 loose leaves on why &quot;You should play DragonRaid to become a stronger Christian&quot;
     2 dice (1d8, 1d10)
     Cassette tape &quot;Rules and Game Introduction&quot;
     a pad with 18 character sheets
     a pad with 18 &quot;Lightraider Worksheets&quot;
     2 cardstock battle grids
     a page of cardstock Lightraider miniatures
     2 cardstock monster and NPC tokens",4.54545,11
Dragonroar,"User summary:

The Dragonroar boxed set contains:

- 46-page book &quot;Basic Rules &amp; Party Adventure - The Kalonth Dive&quot;
- Cassette tape with an introduction to the rule book and the solo adventure &quot;A Matter of Honor&quot;
- 17 Monster Sheets, including the Killer Penguin and the War Hedgehog
- 7 Character sheets (4x warrior, 3x wizard)
- 4 Play Sheets (table reference sheets)
- Dungeon section tiles
- Dungeon grid plan
- Blank mapping sheet
- Character and monster tokens
- 6 dice (d4, d6, d8, 2d10, d12)",4.5,2
Dragonstar,"From the back of the box:

Dragonstar Rising presents the fascinating story of the early years of the Seven Worlds. The background and history of all the combatants are covered in detail, as are the innovative technologies used and the devastating abilities of Living Steel Power Armor. Complete with maps and counters,

Dragonstar Rising features fast, highly realistic rules that capture the energy of high-tech combat without sacrificing fun or ease of play. Compatible with Living Steel, Dragonstar Rising is the ideal game for everyone who wants to share in the saga of the Seven Worlds.",6.66667,6
Dragon Storm,"From Introduction:

This book provides the framework for Dragon Storm. The book covers the game mechanics you will be using to resolve the situations that occur as you play. It is the Rules. On the web pages you will find a downloads link. There you will find descriptions of cards, PDF's, and guidelines for their use. Guidelines are secondary to the rules. You will discover that the GM can override anything we have written, but that is for later.",0,0
Dragon Warriors,"The Dragon Warriors rulebook is a 256-page complete introduction to a life of adventure in the Lands of Legend, with all the information and rules that you need to play the game.


     Seven character classes: knights; barbarians; assassins; sorcerers; mystics; elementalists; and warlocks
     A complete description of the world of Legend
     Hundreds of spells, magic items and monsters
     All the rules needed to explore the world of Legend and deal with its inhabitants&mdash;whether they&rsquo;re friendly or hostile
     Examples of play comic-strips
     Stunning artwork and cartography from Jon Hodgson, Erik Wilson, Scott Purdy, Scott Neil, Andy Hepworth and Andy Law


The Dragon Warriors rulebook contains everything needed for a newcomer to the exciting world of roleplaying games to learn how to play, and enough depth and invention to keep experienced and jaded players happy. Old fans will be delighted with the way that the new book makes the game easier to play; new fans will find a fantastic new world and the tools to explore it within the covers of Dragon Warriors.

Most of the content of the rulebook is taken from the six classic Dragon Warriors books published in the 1980s, re-edited by Ian Sturrock (Conan RPG, Slaine RPG), with additional text, a new introduction by original author Dave Morris and a brand-new introductory adventure.",7.69318,44
Drakar och Demoner,"This was an overhaul of the sixth edition of the staple Swedish RPG &quot;Drakar och Demoner&quot;, now designed by Riotminds. This edition gets rid of basic traits and gears the system much more towards scandinavian folklore fairytales and icelandic hero epics.
 This Trudvang edition was the first boxed edition in a couple of years and contains &quot;Trudvangs Hj&auml;ltar&quot; (rule book) and &quot;Trudvangs Stigar&quot; (world book), a map, dice and character sheets.

The rules have been simplified compared to the sixth edition with a reduced number of skills, a simpler magic system and easier character creation. Players can now spend skill point to buy specializations for most skill, which makes characters potentially more unique.

There are detailed descriptions and rules for six different religions in the book, compared to four in the previous edition.",7.06154,13
Dread RPG,"Publisher Blurb:

To save a city...to save a world! The end is nigh. A shadow falls on Punjar, and panic fills the streets. This doom cannot be fought, and it cannot be outrun. Unless... From the lightless depths below the city streets, you must find the way to P'quoth, and the indifference of the fate-denying Madka. The clock is ticking. There will be no victory without sacrifice. Without the courage, cunning, and strength to face an immortal, your souls will surely fall prey to the Dread God Al-Khazadar!",0,0
Dread: The First Book of Pandemonium,"Publisher Blurb:
The bodies that were found were, in many cases, unrecognizable. James Yarborough, 24, a gas station attendant, had been crucified in his garage. Dennis Atwater, 39, a farmer, had been impaled on a pitchfork in his back yard. His right arm was missing, and appeared to have been twisted off. Mary Ann Walker was found in her bathtub, fully clothed, her lower jaw sliced off neatly, as if by some impossibly precise blade. Inexplicably, many of the injuries appeared to be self-inflicted.

Dread: The First Book of Pandemonium is a tabletop role-playing game of modern horror-action, set in a world of black magic and demonic possession. Originally released in 2002, the game has been streamlined and revised. Dread features 88 gut-wrenching spells, including Caliban, Bile, and Viscera, and includes 41 demons, including the seductive Laradina and the pyrokinetic Gatterag.",7.125,8
"Dream Askew, Dream Apart","Dream Askew gives us ruined buildings and wet tarps, nervous faces in the campire glow, strange new psychic powers, fierce queer love, and turbulent skies above a fledgling community, asking &ldquo;What do you do next?&rdquo;

Dream Apart gives us demons and wedding jesters; betrothals and pogroms; mystical ascensions and accusations of murder; the sounds of the shofar ringing through cramped and muddy streets, of cannon fire, of the wolf&rsquo;s footfalls in the snowy pine forest; asking &ldquo;What do you do next?&rdquo;

This book contains two games of belonging outside belonging. Dream Askew explores the story of a queer enclave amid the collapse of civilization. Dream Apart explores the story of a Jewish shtetl in a fantastical version of nineteenth-century Eastern Europe.

Both games use a simple no dice, no masters system that puts the focus on relationships, community struggles, and player choice.

Build a community together, and then make trouble within it!

(Publisher's Website)",0,0
Dream Park: The Roleplaying Game,,,
Dresden files rpg,"Publisher Blurb:

Tell Us Your Story

Beneath the &ldquo;normal&rdquo; surface of the world are things and people which most of us don&rsquo;t want to know about, and will do our best to forget about if we ever come near them. People won&rsquo;t see what they don&rsquo;t want to see.

But that&rsquo;s most of us. And you&mdash;you&rsquo;re not most of us.

What&rsquo;s Your Story?

Whether you&rsquo;re a champion of God, changeling, vampire, werewolf, wizard, or plain &ldquo;vanilla&rdquo; mortal human being, this volume of The Dresden Files RPG gives you all the rules you need to build characters and tell your own stories in the Dresdenverse. Inside, you&rsquo;ll uncover the secrets of spellcasting, the extents of mortal and supernatural power, and the hidden occult reality of the unfamiliar city you call home.
Together with Volume Two: Our World, The Dresden Files RPG: Your Story gives you everything you need to make your own adventures in the thrilling and dangerous world of New York Times best-selling author Jim Butcher&rsquo;s Dresden Files series!",8.02322,211
Droids,"Droids is a mini-RPG about the exploits of robots that survived the destruction of their world by humans. Character creation is done by building your droid part by part, and the game includes an introductory scenario in a military base.",5.75,4
Dune: Chronicles of the Imperium,"From the back of the book:
Experience the splendor... the danger... the intrigue of DUNE, as you and your friends step into the roles of House Mentats, Swordmasters, Nobles, and Bene Gesserit Sisters in service to one of the Great Houses of the Landsraad. Stride across the scorching sands of Arrakis or finesse your way into an imperial gala on Wallach IX. Smuggle the spice melange to the rich and powerful, or lead your House's forces in a razzia against the Harkonnen oppressors. Endless adventure lies ahead!",7.27778,27
Dungeons & Dragons,"From the back cover:

EXPLORE subterranean labyrinths!

PLUNDER hoards of treasure!

BATTLE legendary monsters!

The DUNGEONS &amp; DRAGONS Starter Set is your gateway to action-packed stories of the imagination. This box contains the essential rules of the game plus everything you need to play heroic characters on perilous adventures in worlds of fantasy.

GAME COMPONENTS

     64-page adventure book with everything the Dungeon Master needs to get started
     32-page rulebook for playing characters levels 1&ndash;5
     5 pregenerated characters, each with a character sheet and supporting reference material
     6 dice",8.01501,403
Dungeon Crawl Classics,"From the publisher's website:


        You're no hero. You're an adventurer: a reaver, a cutpurse, a heathen-slayer, a tight-lipped warlock guarding long-dead secrets. You seek gold and glory, winning it with sword and spell, caked in the blood and filth of the weak, the dark, the demons, and the vanquished. There are treasures to be won deep underneath, and you shall have them.


Return to the glory days of fantasy with the Dungeon Crawl Classics Role Playing Game. Adventure as 1974 intended you to, with modern rules grounded in the origins of sword &amp; sorcery. Fast play, cryptic secrets, and a mysterious past await you: turn the page&hellip;",8.25004,280
Dungeon Squad,"From the rules:

Dungeon Squad is a role-playing game designed expressly for young players with short attention spans who demand action and fun. here is a lot of die rolling and some amusing shopping and number-crunching. Characters can be generated in 30 seconds.",5,4
Dungeon World,"From the product website: 

        Dungeon World is a world of fantastic adventure. A world of magic, gods, demons, Good and Evil. Brave heroes venture into the most dangerous corners of the land in search of gold and glory. You are those heroes. You go where others can't or won't. You conquer the unbeatable and laugh in the face of Death. There are monstrous things lurking in the world. Are you ready to face them?


This full book extends the Basic game presented at Gencon 2011 into the complete game.",7.81411,319
Durance,"Publisher blurb:

On a remote planet orbiting a distant star...
...the worst criminal scum from a dozen star systems have been dumped, charged with building new lives under the watchful eye of Authority. Within a brutal hierarchy of savagery and servility, convicts and guards alike must make hard choices. Every colonist has their own code of conduct and their own aspirations&mdash;aspirations that invariably come at the expense of everyone else. This dangerous new world is too small for everyone to succeed. In fact, it may well be too small for anyone to succeed. Only the shrewdest, the toughest and the luckiest will get a chance to find out. Will you be among them?

Durance is a fast-paced, low-prep, highly collaborative game in the tradition of Fiasco. Players in Durance assume the dual roles of convicts and guards trying to survive on an outrageously hostile planet. The thin veneer that separates the two classes tends to erode during play, raising questions about corruption, justice and mercy.",7.25,28
Dust Devils,"Dust Devils
Stories in the Old West

Shoot or give up the gun.

Dust Devils, the Indie RPG Game of the Year 2002, is back with a vengeance. Relive the toughest moments of the Old West in this acclaimed game.

Use this book with playing cards and poker chips to create your own exciting, powerful stories in the spirit of the Western.

This book Includes:

- Clearly written game rules with many examples showing exactly how to create fun and exciting Western stories.

- The Last Trail, a quick and easy cowboy story that&rsquo;s ready to play right away.

- A look at the best Western movies. Plus, advice on how to use ideas from movies and the history of the West.

- Three alternate genres, letting you create stories like super-spy action, samurai drama, and neo-noir crime.",7.24038,26
The Dying Earth Roleplaying Game,"At any moment the sun may go out...

In this unimaginably far future, the swollen orb stutters and blinks. On the Dying Earth, in these last fleeting moments of the 21st Aeon, humanity festers rich as rotted fruit.

Earth, immensely old...

Half-men haunt the forests from decadent Kaiin to the Land of the Falling Wall. Yet a flashing sword is less important than sharp wits, persuasive words, and exotic fashions.

Enchantment shapes the world!

Science has given way to rich, colorful magic. Any dabbler may know a few simple cantraps. Magicians in lavish manses struggle to master Earth's last great spells, while supreme Arch-Magicians command the omnipotent but quarrelsome sandestins.

Visit the Dying Earth!

Enter this vivid world based on Jack Vance's legendary Tales of the Dying Earth fantasies... features easy, fast-playing rules that encourage creativity and interaction. Create a roguish adventurer like Cugel the Clever, surviving by wits and cunning; an ambitious Magician searching for lost spells, such as Turjan of Miir; or an all-powerful Arch-Magician to rank with Rhialto the Marvellous. You need not know Jack Vance's work to play, but fans of the stories will enjoy the comprehensive summary of the world's places, creatures, and known spells.


     For novices and seasoned roleplayers
     Complete introductory adventure
     Pertinent advice on conjuring a suitably Vancian atmosphere
     Extensive examples and index",7.31143,35
Dzikie Pola,"From the back of the cover:

Burzliwy wiek XVII...
Szabla, honor, miłość i krew...
Polska szlachta i jej państwo...
Fascynujący świat Sarmat&oacute;w...
Zajazdy, zwady, pojedynki...
Hultaje, warchoły, pijanice...
Boruta, Stadnicki, Łaszcz...
Kozacy, Moskwa, Tatarzy...
Ta gra fabularna pozwoli Ci przenieść się w ten świat...

and translation:

Turbulent seventeenth century ...
Saber, honor, love and blood ...
Polish nobility and their state ...
The fascinating world of Sarmatians ...
Inns, quarrels, duels ...
Ne'er-do-wells, brawlers, drunkards ...
Boruta, Stadnicki Łaszcz ...
Cossacks, Moscow, Tatars ...
This role-playing game will allow you to move into this world ...",7.3,10
EABA,"User Description

        EABA is a generic/universal game system including point based character generation, and systems for paranormal powers designs, vehicle design, and weapon design.
        EABA uses only 6 sided dice.",6.54545,11
Earth 2020,,,
Earthdawn,"From the back of the book:

The Age of Legend

Before science, before history, there was an Age of Legend...

For years humanity huddled in underground kaers, as the astral beings known as the Horrors ravaged the land in an orgy of terror and destruction. Now the long, dark age of the Scourge has passed, and brave adventurers emerge to reclaim their world.

Elf, ork, t'skrang, human, and other wondrous races explore a world that teems with strange creatures and unseen dangers; a world of lost cities, of ancient, long-forgotten treasures and indescribable wonders; a world where the very earth and sky vibrate with magical energies.

In this age of legend, heroes rekindle the glory of days past and become the legends of tomorrow.

Join these brave souls and begin roleplaying in Earthdawn, the Age of Legend.",7.3619,105
Eat the Reich,"EAT THE REICH is a tabletop roleplaying game in which you, a vampire commando, are coffin-dropped into occupied Paris and must cut a bloody swathe through nazi forces en route to your ultimate goal: drinking all of Adolf Hitler's blood.

It's written by Grant Howitt (Honey Heist, Spire, Heart) and illustrated by Will Kirkby (Critical Role, Image, Darkhorse, Boom).

This over-the-top, ultraviolent game is designed to be played from beginning to end in one to three sessions of carnage, blood magic, meaningful flashbacks and hundreds upon hundreds of extremely dead fascists. It tells one story, it tells it loud, and it tells it brilliantly. Think Wolfenstein crossed with Danger 5 and you're not far off the mark.

(From Kickstarter page: https://www.kickstarter.com/projects/gshowitt/eat-the-reich/description )",7.35,20
Eclipse Phase,"Back cover copy:

&quot;Your mind is software. Program it.
Your body is a shell. Change it.
Death is a disease. Cure it.
Extinction is approaching. Fight it.&quot;

Publisher Blurb:

The Game
Humanity stands on the cusp of a new age, with accelerated technological growth converging toward a singularity point, promising an undreamt-of future. Despite the ecopocalypse and social upheavals on Earth, humanity has conquered the solar system and partially terraformed Mars. Advancements in biotechnology, nanotechnology, artificial intelligence, and cognitive science have transformed our lives. Everyone is wirelessly networked with the world around them, AIs process vast amounts of information, and nano-fabrication enables people to &quot;print&quot; complex devices from the molecular level - at home. Biotechnology allows people to genefix, enhance, and clone their bodies, while others pursue body modifications to adapt to new environments or make themselves into something no longer quite human. People&rsquo;s minds and memories can be digitized, uploaded, transferred over long distances, and downloaded into new bodies (biological or synthetic). Death has been defeated - for those who can afford it.

From within, disaster struck. Transhumanity reaped the rewards of its arrogance when conflict spiked between the battered nations of Earth, already weakened by decades of climate catastrophes and other disruptive factors. Rampant netwars soon exploded into physical conflicts with spiraling body counts. In the midst of these aggressions, a group of military AIs known as TITANS quietly achieved full sentience and autonomy, and rapidly began exponentially incrementing their own intellectual growth. The AI intelligences spawned by this hard-takeoff singularity quickly turned against transhumanity, enveloping the system in unprecedented levels of violence, disaster, and warfare. What began as a whirlwind of conflict between political factions, revolutionaries, and hypercorps soon escalated into a struggle between man and machine.

In just a few years, transhumanity was nearly wiped out with nuclear strikes, biowarfare plagues, destructive nanoswarms, infowar attacks, mass uploads, and other unexplained singularity events, ripping the superpowers of old to pieces. Our planetary home &quot;Earth&quot; was transformed into a toxic and strange hellhole, while many major habitats were left frozen sarcophagi in the vacuum of space. Just as quickly as they came, the TITANS disappeared, taking millions of uploaded minds with them, leaving behind a network of wormhole gateways. Known as Pandora Gates, these poorly-understood devices allow instantaneous teleportation to distant star systems - often one-way and/or fatal. Though only a handful of Pandora Gates are known to exist - each highly contested - the foolish, brave, curious, and desperate are already risking certain death to enter and explore what lies beyond.

In the aftermath of the Fall, transhumanity lives on, divided into a patchwork of hypercorp combines, survivalist stations, transhuman faction species, and city-state habitats. Under the oppressive police states of immortal inner-system oligarchies, advanced technologies remain highly restricted, and refugee infomorphs are held in virtual slavery or resleeved in robotic bodies and forced into indentured labor. In the outer system, rebel transhuman scientists and techno-anarchists struggle to maintain a new society - from each according to their imagination and to each according to their need. And on the fringes and in the niches lurk networked tribes of political extremists, religious fanatics, criminal entrepeneurs, and bizarre posthumans, among other, stranger, and more alien things ...

Though most claim the Fall was carefully orchestrated by the out-of-control TITANS, others whisper that the driving powers behind the wars - both AI and transhuman - were infected by a mutating virus with multiple infection vectors - biological, information, nano - dubbed the Exsurgent virus. Whatever its source, this virus has been known to sometimes transform its victims into something unexplainable ... something monstrous and reality-altering. Whatever the truth, the remnants of the TITANS and this virus were left to the desolated ruins or driven to the edges of the system, where they remain hidden away in dark corners, quietly waiting to infect the minds of the scavengers and explorers who find them ...

System
Eclipse Phase uses a variant d100/percentile system with some twists. The game is fast and simple, streamlined so players can dive into the world and action without being burdened down by complex rules.",7.78099,171
Ehdrigohr,"From the back of the book

Welcome to Ehdrigohr and may the crows be your guides!

Ehdrigohr is a land where the nine tribes must survive the terrible things that walk the lands from sundown to sunrise. Immerse yourself in a fantastic world of cultures, myths, and legends. Magic is everywhere and with it the people can bend reality to their will or break it and unleash even more terrible things trapped in the emptiness called the Twain.

Ehdrigohr is a roleplaying game focused around storytelling, high drama, and horror. Players will create heroes and heroines who hold back the tides so the people can see another day.

Powered by Fate.

[Taken from introductory and site text.]
In Ehdrigohr, tribal people in a broken world strive to unify while struggling against the horrors that wait for the night to fall.

Ehdrigohr is a Fate Core System based tabletop role-playing game. It is inspired from the mythology and lore of tribal peoples from across the world but has a particular foundation inspired from Lakotah stories and folklore.

In Ehdrigohr you get to play a character struggling to survive in this recovering world. It is a fantasy game of high heroics, myth and culture, powerful magic, and survival horror. The tides of darkness are overwhelming but this is not meant to be a game of nihilism. It is about hope. Your characters are the mythic heroes who do impossible things that push back the terrible tide.

There are multitudes of paths to greatness.

     A warrior, imbued with mystic martial arts who fights on The Line?
     A storyteller who keeps the peoples' spirits up and empowers their hearts to fight another day.
     A wandering peacekeeper that ferrets out the infiltrators and hatemongers who work to break the nations.
     A reality weaving Way-walker who travels the wild places seeking the breaches where the creatures trapped in the Twain have broken through the pale into the world.


Culturally, Ehdrigohr is a non-traditional fantasy world. Rather than fantasy seen through a Euro-Medieval lens, Ehdrigohr is instead crafted to take inspiration from the myth and folklore of tribal, and indigenous, cultures around the world with particular inspiration from traditions of the Lakhota people.

Though it is a human-centric world, each of the cultures of Ehdrigohr promises to have its own flavor steeped in magic. These are not &ldquo;primitive&rdquo; cultures but nations that have chosen their own interesting paths and traditions in their effort to survive the ravenous hordes that come in the night. Though it presents a different flavor of fantasy, there is a point of entry for many styles of play. There is high adventure, political intrigue, delving, social plays, secret societies, monster bashing, monster fleeing, and so on.

Mechanically, Ehdrigohr relies on the Fate Core system to deliver its fun and focus on dramatic storytelling. The mechanics have been tailored to the ideals of the setting, though you can still expand on it with ideas from other FATE-based games out there in the market.

In addition to being a fun game and an interesting world to explore Ehdrigohr is also a game of allegories. It examines our relationships with each other and the powerful force that is depression and how it whittles away at us, sending terrible thoughts that come when we are in dark places, bring us shivers, and cause us to fade. We hope to inspire people to hold strong in the darkness and fight your way through to a new light.

So please join us. Make a character, choose your place, and hold the line in the night.",6.5,4
El-Hazard Role-Playing Game,"Publisher's blurb:

This complete full-colour resource book is based on the popular El-Hazard Japanese anime series that debuted in Japan in 1995 (directed by Tenchi Muyo! co-creator Hiroki Hayashi). The series details the adventures of high school student Makoto Mizuhara after he is pulled into an alternate dimension, the magnificent fantasy world of El-Hazard. While in this beautiful and exotic land, Makoto is faced with new responsibilities as an emerging hero. A delightful cast of characters from both Earth and El-Hazard join Makoto in the battle against an evil insectoid empire, including his school teacher, Mr. Fujisawa, his classmate, Nanami, and three beautiful priestesses with awesome magical powers. With episode summaries, character bios, and setting details, combined with a complete role-playing game, this book is the ultimate fan guide to the El-Hazard series.",0,0
Eldritch Role-Playing System,"From the back of the core rulebook:

Eldritch Role-Playing System
A fast-paced, action-oriented RPG of high fantasy

There is a realm where warriors brandish their swords to thwart evil, wizards bend reality to achieve the impossible, and rogues sneak past them both to claim the treasure for themselves! Eldritch Role-Playing System takes you to this realm. A complete yet simple system, this game lets your characters become powerful heroes with straightforward rules.

With no restrictive archetypes, character concept is king: cast any spell, wield any weapon desired, evoke any power imagined. Players can create detailed characters in minutes, fulfilling their destinies in a world of dream known by sages as Ainereve. So sharpen your sword, gather your will, and summon your inner strength to prepare for a new game experience...",6,1
Element Masters,"From the introduction:

What Makes Element Masters Different?

Element Masters was organized by a team of experts from a variety of fields, and then enhanced by several hundred play-testers over the course of several years.


     The combat system features hit locations based on weight and features a unique three-action combat phase which enhance realism yet does not slow down play.



     There is a definite objective to the game rather than merely going around gratuitously slaying beasts.



     Long-distance transporters alleviate tedious travel through established territories.



     The setting is a logical world and the players are treated like the heroes they may become.



     Element Masters features over one hundred illustrations by an award-winning artist.



     Non-combat skills add humor and realism to play (Ingenious Idea, Tell Joke, Insult, Foraging).



     The character's carrying and lifting capacity are computed to the nearest pound.



     Characters come to life with interesting descriptions for numerical scores.



     The monsters are logically designed and based on popular genetic theory.



     Magic is commonplace and easy to learn.



     Characters are not restricted to classes.



     Luck is utilized as a characteristic.



     Divine intervention is very limited.



     Element Masters emphasizes realism yet does not become mired in technicalities.",0,0
Elfquest,"From publisher blurb:

Using Chaosium&rsquo;s Basic Roleplaying system (BRP) as its core, ElfQuest: The Official Roleplaying Game was written by Steve Perrin, Sandy Petersen, and Yurek Chodak, based on the characters and setting created by Wendy and Richard Pini. The ElfQuest RPG was published in 1984, and was followed by several supplements. All featured Wendy Pini&rsquo;s distinctive artwork, beloved by ElfQuest fans for over forty-five years.",6.17857,14
Elfs,"From the publisher:

The elfs of Glorantha are beings as far removed from humanity as the great dragons and as such their motives are largely unfathomable. They are not even animals, but a form of plant life that is mobile and forms its own vibrant societies across the world. There are numerous subspecies of elf and, whilst they have their own names for the different races, humanity has tended to group them by type in an effort to categorise them more easily. Inside this book are extensive notes on elfin society, how its people interact with one another and the outside world, with their beliefs, culture and details on the various elf types. Their settlements and how they are organised are covered also, with two being described as examples of how they can be laid out (not that any two elf settlements are ever the same).

Extensive notes on how to play the various sorts of elf are available within, allowing Players and Games Masters alike to get to grips with these strange beings.Finally the religious cults are described in some detail, with some familiar to humans and others practically unknown outside of the elfin groves. With these descriptions are spells which are unique to these people.",7,3
Elric!,"Elric! is a roleplaying game set in Michael Moorcock's fantasy world of the Young Kingdoms. Exhaustive background features detailed descriptions of the island of Melnibon&eacute; and of her former holdings, known collectively as the Young Kingdoms.

Character generation is quick and complete. The forces of Law, Chaos, and the Cosmic Balance affect every adventurer; their allegiances reflect the choices you make for him or her.

Magic includes rules for demon summonings, a cast spells system, and invocations and enchantments.

Elric! is a re-implementation of Chaosium's older Stormbringer, and rules for converting Stormbringer characters are included.

This page is for the 160 page rulebook for the game. The rulebook contains everything needed to play.",7.14909,55
Empire of the Petal Throne,"User Summary:

Subtitled: Rules for Fantasy Adventures and Campaigns on an Alien Planet.
Introduction by E. Gary Gygax.

Game mechanics inspired by Dungeons and Dragons.

Setting was very complete, with language, flora, fauna, gods, history and whole empires of people.

Box set contains Maps (of Jakalla, and Eastern and Western Tekumel), the Game Book, and two 20 sided dice.

Microbadges

 T&eacute;kumel fan

 M. A. R. Barker fan",7.50476,21
En Garde!,"From the back of the book

En Garde! is a semi-historical game/simulation representing many of the situation of an Errol Flynn movie set in the Seventeenth or Eighteenth Centuries.

In En Garde!, a player finds himself born into and educated in a world where social climbing is a way of life, and status is a goal to be pursued over money. It is a world inhabitated by Cyrano, Roxanne, Scaramouche, Errol Flynn, Porthos, Athos, Aramis, Rhonda Fleming, Francois Villon. Constance and of course D'Artagnan. There are people to be used, friends in high places to be cultivated, enemies to be humiliated, the Cardinal's Guard to be trounced, lackies to be abused, the hand of a fair damsel to be won and the ear of the King to be gained.

Come with us now, to those vibrant, bawdy days of Yore ..

Sharpen your sword ... Sharpen your wit ... Take care not to insult a small man with a large nose ... All for one and one for all ... Good luck, friendm and may your Swash never Buckle!",7.27273,11
The End,"From the introduction:

Hear the tale of the land called Blackmoor, a place full of death, suffering; its demise is one for the history books, a fight for survival against creatures from the deep.

A Dave Arneson's Blackmoor Interactive event for players levels 9-15.",0,0
